49.3,1.37
47.8,1.35
51.6,1.44
45.9,1.1
45.5,1.01
48.7,0.84
42.6,0.67
44.6,0.84
45,0.83
43,0.73
46.9,0.99
41.3,0.93
38.8,0.58
52.7,1.57
46.7,1
47.9,1.06
80,4.17
77.7,3.75
73.5,3.76
69.1,3.43
72.9,4.25
71.4,3.04
63.7,2.59
65.1,2.79
63.6,2.12
64.1,2.88
61.4,2.71
56,2.06
47,1.23
53.6,1.74
50.4,1.38
57.6,1.73
56.7,1.96
52.6,1.37
54.5,1.86
60.8,1.33
45.9,1.1
48.1,1.19
42.9,0.96
80.8,5.45
89.3,6.36
79,5.18
85.4,6.3
81.8,4.53
72.5,3.2
74.3,5.2
84.2,5.39
78,5.14
67.8,3.38
69.1,3.16
70.9,3.78
60.3,2.03
45.6,1.03
49.2,1.08
47.7,1.2
49.7,1.41
36.2,0.57
43.2,0.9
48.1,1.42
43.1,0.91
38.3,0.78
46.7,1.11
51.4,1.75
51.3,1.69
50.2,1.62
52,1.87
49,1.47
49.4,1.62
49.5,1.66
49.2,1.35
47.3,1.31
46.9,1.42
47.9,1.5
48.9,1.4
44,1.14
48.8,1.52
45.8,1.49
47.2,1.47
43.2,1.17
48.2,1.48
46,1.13
44.1,1.16
45.7,1.22
43,0.96
41.5,0.94
43.3,0.98
40.8,0.89
61.6,2.45
61.8,2.38
53.3,1.39
56.4,1.8
56.2,1.9
58.2,1.78
50.8,1.8
53.2,1.5
48.9,1.51
52.4,1.62
48.5,1.21
44.4,0.85
49.9,1.73
45.3,1.2
47.6,1.19
47.5,1.15
42.7,0.95
42.6,0.85
47.7,1.24
50,1.14
72,3.93
70.1,4.06
64.7,3.69
61.1,2.7
62.7,2.64
61,2.23
61.4,2.95
65.7,3.25
69.9,3.92
51.7,1.88
49,1.55
51.2,1.45
57.6,1.94
57.7,2.2
58.4,2.36
56.4,2.05
57,1.95
48.4,1.46
47.6,1.11
66.2,3.11
53.6,1.87
47.4,1.46
53.2,1.6
51.3,1.56
52.2,2.04
49.1,1.51
56.1,2.1
48.7,1.49
45,1.22
46.2,1.23
47.4,1.43
44.3,1.09
47.4,1.45
38.2,0.79
43.8,1.16
47.9,1.45
41.2,1.03
57.1,1.81
54.1,1.84
52.7,1.45
53,1.46
53.4,1.8
48.6,1.2
48.7,1.18
48.5,1.13
47.5,1.15
35.6,0.48
46.8,0.99
47.9,1.22
47.1,1.12
42.7,0.78
46.4,1.36
48.3,1.38
44.3,0.91
39.6,0.71
47.6,1.24
45.9,1.01
39.8,0.75
41.6,0.78
60.2,2.36
58.4,1.76
55.1,1.78
52.7,1.47
56.3,1.98
50.2,1.27
55.3,1.39
50.3,1.27
50.4,1.21
48.5,1.22
55.4,1.55
46.2,1.11
45.2,0.95
42.1,0.77
46.9,1
46.3,1.03
38.4,0.6
42.6,0.94
44.2,1.05
45.2,1.03
61.9,2.88
68.6,3.71
60.1,2.43
49.2,1.5
57.7,1.96
53.9,1.12
57,1.68
53.5,1.54
51.6,1.33
51.5,1.53
56.9,2.07
50.7,1.46
52.2,1.57
55.4,1.97
45.2,1.05
51.9,1.43
48.4,1.38
48.9,1.37
51.1,1.39
49.3,1.4
41.6,0.89
42.7,0.88
43.5,0.92
50.2,1.4
49.8,1.32
46.5,1.08
50.9,1.26
45.2,0.99
52.7,1.58
42.5,0.88
