55.9,2.48
55.9,2.4
56.6,2.74
57.7,2.37
58.8,2.54
60.1,2.43
56.9,2.11
59.9,2.55
63,2.81
63.3,2.93
64.3,3.41
64.4,3.4
64.9,3.12
65.9,3.45
67.6,3.67
71.8,4.13
47.4,1.46
47.6,1.49
48.2,1.39
51,1.59
52.4,1.77
55.5,1.9
57.5,2.89
57.5,2.46
58.9,2.61
60.1,3.17
61,3.4
47.1,1.35
51.7,2
52.5,2.01
53.9,2.06
54.1,2.15
55.2,2.26
55.3,2.45
55.5,2.41
56.4,2.41
57.6,2.68
57.6,2.67
57.8,2.25
59.8,2.56
60.1,2.67
62,3.11
53.3,1.91
53.6,1.82
55.8,2.41
55.8,2.41
55.8,1.95
56.4,2.42
56.4,2.42
57.1,2.59
57.1,2.59
59.6,2.7
59.6,2.7
58.7,2.44
59,2.39
59,2.51
61.2,2.81
62,3.02
62.1,3.16
62.2,3.08
63.3,2.71
64,3.47
64.1,3.2
65,3.3
65.4,3.48
65.5,3.94
65.6,3.24
66.4,3.81
53.3,1.9
54.7,1.89
58.3,2.44
52.5,1.88
58.5,2.29
54.3,2.24
56,2.47
58.6,2.72
59,2.64
52.2,1.85
54.6,1.93
54.7,2.09
55.5,2.15
56,2.24
57,2.43
51.1,1.94
51.6,1.8
52.3,1.9
52.6,1.75
54,2.32
54.2,1.85
55,1.76
55.2,1.74
55.7,2.25
56.7,2.53
56.9,2.67
57.3,2.63
59,2.85
60.3,3.07
61,3.13
63.4,3.31
61.8,2.68
65,2.67
66.9,3.39
67.4,4.06
68.5,3.41
69.1,3.71
70.7,4.64
71.5,4.51
59.7,2.78
60.9,2.94
62.4,3.06
63.2,3.25
63.4,3.52
64.2,3.4
65.9,3.6
66.3,3.64
67.2,4
67.7,4.11
68.1,3.91
68.2,4.15
68.6,4.35
69.5,4.25
55,1.92
59.5,3.11
63.5,3.08
62.8,3.36
66.2,4.03
67.6,3.78
69.5,4.19
72.5,4.56
74.7,6.65
52.7,1.57
63.6,2.12
63.7,2.59
64.1,2.88
65.1,2.79
49.4,1.32
50.4,1.44
51.2,1.41
51.3,1.05
52.1,1.54
52.7,1.45
53.6,1.46
54,1.17
54.1,1.84
55,1.76
57.1,1.81
58.4,1.76
60.2,2.36
61.4,2.05
53.3,1.39
53.6,1.87
56.2,1.9
56.4,1.8
58.2,1.78
61.8,2.38
61,2.23
61.1,2.7
61.4,2.95
62.7,2.64
64.7,3.69
65.7,3.25
69.9,3.92
67.8,3.38
69.1,3.16
70.9,3.78
56.7,2.24
61.9,2.88
68.6,3.71
63.7,3.06
66.9,3.85
67.7,3.91
68.8,3.76
69.1,4.52
70.1,3.91
70.8,4.46
71.3,3.99
71.4,4.06
54,1.75
58.1,1.82
60.6,2.4
54.8,2.42
68.7,3.8
56.8,2.2
57.6,2
59.1,2.43
60.4,3.05
60.4,3.05
60.9,3.05
60.9,3.05
61.5,3.16
61.5,3.16
63.8,3.35
67,3.62
69.3,3.93
70,4
70.3,3.52
71.3,4.68
73.3,4.71
73.5,4.67
64.6,2.98
64.1,3.51
59,2.55
63.1,2.93
68.2,4.27
73,4.52
73.3,4.83
75.3,5.14
76.7,6.02
77.4,5.5
77.4,6.61
77.5,5.6
71.4,4.69
71.8,4.85
73.1,5.13
71.3,3.94
72.4,4.63
78.2,5.75
60.3,2.03
69.1,3.43
71.4,3.04
72.9,4.25
73.5,3.76
61.6,2.45
66.2,3.11
70.1,4.06
72,3.93
72.5,3.2
74.3,5.2
78,5.14
81.8,4.53
84.2,5.39
85.4,6.3
70.6,4.58
73.3,4.19
74.3,4.4
76,4.83
63.8,3.35
66.9,3.38
66.9,3.38
80.1,5.69
83.9,6.98
76.9,4.94
77.7,3.75
80,4.17
79,5.18
80.8,5.45
89.3,6.36
79.8,5.45
